soccer,6.41353161307,7.00088872035,16.0
ball,4.35898636616,2.17365091994,16.0
game,5.4736162299,4.15467130937,12.0
played,4.65136065439,3.87602438833,12.0
advanced,4.1482374773,2.98215473919,12.0
feet,1.23442132902,2.60042421916,12.0
sport,3.36055569557,7.65498868618,16.0
also,5.41778179242,6.95243829858,12.0
called,2.57534271871,6.43224883181,12.0
confuse,5.1532221468,3.76960456234,12.0
variants,7.69258589764,6.88325790983,12.0
football,7.25217956713,4.98473212547,32.0
american,2.64764978411,7.9398064243,12.0
rugby,6.45928830478,3.70891003694,12.0
gaelic,3.25793765681,4.79206427271,12.0
official,5.41753610103,4.99359871286,12.0
name,3.15332783065,7.48898080099,12.0
association,4.74917220056,6.4316215883,16.0
london,5.93256872671,7.10316471244,12.0
english,5.88529281822,6.91861365358,12.0
native,4.40546293986,7.59737974743,12.0
speakers,4.90308688844,2.77079026217,12.0
usually,6.76131926081,3.61328074866,12.0
call,2.42947347935,7.09883768275,12.0
footie,4.25974848579,7.94062559164,12.0
footy,4.09725701121,5.86533234917,12.0
footer,2.36603644176,7.95632049696,12.0
